year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2005,BMW,5 Series,545i,Sedan,automatic,wbanb33565cn65087,md,2.0,117519.0,white,brown,z & s auto league inc,6175.0,3100.0,2015-02-24 05:00:00+08:00
2012,Hyundai,Accent,GLS,Sedan,automatic,kmhcu4ae3cu110939,fl,4.0,63079.0,gray,gray,regional acceptance corporation / greenville,7500.0,8000.0,2015-02-19 01:30:00+08:00
2009,Ford,F-150,XL,SuperCrew,automatic,1ftrw14849fa44475,in,1.0,153086.0,white,tan,ari,9800.0,6100.0,2015-02-26 04:30:00+08:00
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g11x5sl2e9290610,il,4.0,13860.0,beige,gray,gm remarketing,16950.0,17500.0,2015-03-05 03:00:00+08:00
2014,Chevrolet,Spark,1LT,Hatchback,automatic,kl8cd6s99ec537903,pa,1.0,15247.0,red,gray,hertz/tra,10000.0,5900.0,2015-03-03 05:01:00+08:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er253910,pa,3.0,28672.0,gray,black,hertz corporation/gdp,16450.0,16300.0,2015-01-22 01:30:00+08:00
2005,Chevrolet,Cobalt,LS,sedan,automatic,1g1al52f257653978,md,2.0,125736.0,red,gray,darcars chrysler jeep of rockville,2325.0,2000.0,2015-06-09 02:30:00+07:00
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1115slxe9237333,co,5.0,17875.0,silver,black,gmac smartlane dealers,18500.0,18800.0,2015-02-11 03:45:00+08:00
2014,Jeep,Patriot,Sport,SUV,automatic,1c4njrbb4ed771602,ca,2.0,27652.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14950.0,12400.0,2015-02-17 05:00:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er256639,fl,3.0,31146.0,gold,black,hertz corporation/gdp,18250.0,17400.0,2015-01-19 04:30:00+08:00
2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf2ekd18403,pa,4.0,12816.0,white,gray,u-haul,18350.0,19200.0,2015-01-23 01:00:00+08:00
2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp9fl363382,fl,2.0,9429.0,blue,gray,florida auto financial group,11350.0,11200.0,2015-02-17 01:30:00+08:00
2012,Ford,E-Series Wagon,E-350 Super Duty XL,van,automatic,1fbss3bl4cda01164,ga,2.0,36535.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,18600.0,16900.0,2015-06-11 05:30:00+07:00
2011,Subaru,Impreza,2.5i,Sedan,automatic,jf1ge6a67bh509907,wa,4.0,58104.0,gray,black,lease plan usa,10250.0,11600.0,2015-01-21 06:30:00+08:00
2008,Volkswagen,GTI,Base,Hatchback,automatic,wvwfv71k88w093444,mi,5.0,99155.0,red,gray,kevins marysville auto sales inc,6450.0,8400.0,2015-02-19 01:30:00+08:00
2010,Audi,Q5,3.2 Premium quattro,SUV,automatic,wa1ckafp3aa022193,az,3.0,46300.0,black,black,meridian remarketing,23200.0,22000.0,2015-06-18 05:00:00+07:00
2015,Dodge,Charger,SE,sedan,automatic,2c3cdxbg1fh811996,ny,2.0,2473.0,white,black,hertz/tra,22000.0,5500.0,2015-06-16 17:00:00+07:00
1995,Honda,Accord,LX,Coupe,automatic,1hgcd7237sa035411,ca,1.0,168899.0,gold,beige,purple heart services inc,950.0,400.0,2014-12-17 15:10:00+08:00
2003,Pontiac,Grand Am,SE1,Sedan,automatic,1g2nf52e23m575969,la,4.0,103208.0,gray,beige,westfall auto sales,2075.0,4100.0,2015-02-11 02:40:00+08:00
2014,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bg5er446429,il,4.0,14002.0,white,black,fca us llc,20400.0,20900.0,2015-06-04 04:00:00+07:00
2009,Kia,Rondo,LX,Wagon,automatic,knafg528797221683,ny,2.0,133664.0,brown,beige,par north america,2900.0,2300.0,2015-05-27 02:50:00+07:00
2003,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftnw21p33ec06688,fl,2.0,234543.0,white,gray,autonation ford bradenton,6375.0,7800.0,2015-02-03 01:15:00+08:00
2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef6efb40876,ga,5.0,12915.0,black,tan,ars/thrifty car rental/greer,34900.0,35000.0,2015-02-17 01:30:00+08:00
