year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2005,Saturn,VUE,Base,SUV,automatic,5gzcz53495s810090,pa,1.0,166933.0,black,gray,liquidation llc,1450.0,650.0,2015-01-13 09:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er436574,mn,3.0,17836.0,gray,black,enterprise holdings/gdp,19750.0,20200.0,2015-02-25 05:00:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er256645,fl,4.0,16638.0,white,black,hertz corporation/gdp,19900.0,20500.0,2015-01-05 04:30:00+08:00
2009,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38939b012435,fl,4.0,81814.0,black,beige,american bank auto liquidators,14850.0,16000.0,2015-01-06 01:30:00+08:00
2014,GMC,Terrain,SLE-1,SUV,automatic,2gkflvek2e6327768,mi,5.0,19106.0,gold,black,stratford hyundai,21800.0,21000.0,2015-02-26 01:30:00+08:00
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb7dn672925,fl,4.0,34753.0,white,black,enterprise veh exchange/rental,10850.0,11000.0,2015-02-10 01:30:00+08:00
2014,Dodge,Journey,SXT,suv,automatic,3c4pdcbg2et243978,tx,3.0,31561.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,15350.0,14800.0,2015-06-16 04:00:00+07:00
2005,Toyota,Highlander,Limited,SUV,automatic,jtedp21a050070570,nc,3.0,98844.0,silver,gray,santander consumer,8275.0,8600.0,2015-02-23 01:30:00+08:00
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk6cu597895,fl,2.0,40571.0,blue,gray,world omni financial corporation,12800.0,11800.0,2015-01-28 01:05:00+08:00
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5296824,ca,2.0,29499.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,18100.0,12000.0,2015-03-03 04:00:00+08:00
2014,BMW,3 Series,328d,Sedan,automatic,wba3d3c55ek157154,nj,5.0,1977.0,white,black,bmw na manheim new jersey,34000.0,31500.0,2015-01-13 14:00:00+08:00
2014,Dodge,Avenger,R/T,Sedan,automatic,1c3cdzbg2en121319,in,5.0,12507.0,blue,black,chrysler capital,14900.0,14500.0,2015-01-08 02:10:00+08:00
2000,Ford,Excursion,Limited,SUV,automatic,1fmnu43s5yee15887,va,2.0,139842.0,white,tan,titlemax/woodbridge va1,4000.0,2000.0,2015-02-19 03:50:00+08:00
2009,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48919t500965,fl,2.0,94961.0,gray,gray,napletons nissan,3075.0,3000.0,2015-02-19 02:10:00+08:00
2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar9bm650835,nj,4.0,19921.0,blue,black,nissan infiniti lt,17300.0,16000.0,2015-02-25 01:30:00+08:00
2012,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f84ca088617,il,4.0,35991.0,blue,gray,ahfc/honda lease trust/hvt  inc. eot,14950.0,15500.0,2015-02-19 02:00:00+08:00
2013,Land Rover,Range Rover Sport,Luxury,suv,automatic,salsk2d47da793995,tx,4.0,41183.0,black,black,credit union of texas,43100.0,44500.0,2015-06-16 03:30:00+07:00
2006,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18n96j218136,oh,3.0,90440.0,red,gray,exceptional motorcar llc,10700.0,12500.0,2014-12-30 10:00:00+08:00
2009,Kia,Rondo,LX,Wagon,automatic,knafg528297230369,wi,1.0,1.0,brown,black,michelles auto sales llc,7375.0,1750.0,2014-12-31 11:00:00+08:00
2005,Isuzu,Ascender,LS 7 Passenger,SUV,automatic,4nues16s456701602,ca,2.0,146870.0,white,gray,zinc auto finance,2025.0,1200.0,2015-02-26 04:30:00+08:00
1995,Toyota,Tercel,Base,Coupe,automatic,jt2el55d7s0106687,va,2.0,123205.0,blue,blue,toyota of stafford,650.0,500.0,2015-02-26 01:35:00+08:00
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah0ez014962,fl,4.0,12842.0,black,black,hertz corporation/gdp,11850.0,11500.0,2015-02-01 16:00:00+08:00
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha7cr352871,md,5.0,12222.0,silver,black,ford motor credit company llc,12950.0,13800.0,2015-01-20 01:30:00+08:00
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg8eh314121,pa,5.0,10218.0,gray,black,hertz corporation/gdp,17350.0,17100.0,2015-05-28 02:30:00+07:00
2013,Ford,F-150,Platinum,supercrew,automatic,1ftfw1ef9dfb73112,tx,5.0,27916.0,white,brown,music city autoplex llc,37100.0,39000.0,2015-06-03 03:20:00+07:00
2000,Chevrolet,Tahoe Limited/Z71,Z71,SUV,automatic,1gnek13r1yr132148,fl,2.0,140409.0,red,gray,purple heart services inc,2025.0,700.0,2015-02-19 04:45:00+08:00
2010,Honda,Insight,LX,hatchback,automatic,jhmze2h5xas037677,md,1.0,76277.0,gray,gray,santander consumer,7200.0,1500.0,2015-06-09 06:00:00+07:00
2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf1ekd64403,la,5.0,8103.0,white,gray,u-haul,18300.0,17600.0,2015-02-18 02:00:00+08:00
2013,BMW,X5,xDrive50i,SUV,automatic,5uxzv8c5xdl426926,ca,4.0,34741.0,black,black,financial services remarketing (lease),38300.0,43625.0,2015-05-21 05:30:00+07:00
2006,Pontiac,G6,GTP,Sedan,automatic,1g2zm571x64217052,md,1.0,106544.0,silver,black,santander consumer,4800.0,3200.0,2015-01-13 13:00:00+08:00
2010,Cadillac,CTS Wagon,Performance,CTS Wagon,automatic,1g6dj8ev3a0100034,ma,3.0,79299.0,red,black,cadillac of norwood,14050.0,11500.0,2015-02-10 01:30:00+08:00
2010,BMW,7 Series,750i xDrive,Sedan,automatic,wbakc6c5xac393660,il,5.0,68571.0,blue,beige,manheim atlanta,26200.0,19200.0,2015-01-20 02:00:00+08:00
2006,Chevrolet,Cobalt,LT,Coupe,automatic,1g1al15f467738360,il,1.0,145125.0,gray,black,santander consumer,2375.0,1050.0,2015-03-03 05:00:00+08:00
2000,Honda,CR-V,LX,SUV,automatic,jhlrd2846yc016845,fl,2.0,231725.0,silver,gray,autonation honda sanford,1075.0,1800.0,2015-05-26 10:30:00+07:00
2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh3d4159114,ga,2.0,56810.0,silver,black,bank of america,7775.0,8000.0,2015-06-18 02:30:00+07:00
2014,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg3eh267359,va,4.0,19975.0,off-white,black,hertz corporation/gdp,19200.0,17600.0,2015-01-15 00:45:00+08:00
2014,Kia,Optima,LX,sedan,automatic,5xxgm4a78eg345840,co,5.0,9800.0,brown,tan,kia motors america  inc,15000.0,15300.0,2015-06-16 05:00:00+07:00
2015,Chrysler,200,Limited,Sedan,automatic,1c3cccag2fn516541,fl,5.0,20786.0,black,black,pv holding inc/gdp,16050.0,16200.0,2015-02-16 04:30:00+08:00
2009,Lexus,IS 250,Base,Sedan,automatic,jthbk262195103630,ca,3.0,86404.0,silver,black,crb auto finance,14150.0,15500.0,2015-02-11 04:30:00+08:00
1992,Toyota,Camry,LE,Sedan,automatic,4t1sk12exnu006238,ga,2.0,302661.0,beige,blue,instaloan/lovejoy ga1,350.0,375.0,2015-01-15 04:30:00+08:00
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et4efb32281,ny,5.0,12628.0,blue,gray,ars/enterprise,28500.0,28800.0,2015-01-06 01:50:00+08:00
2014,Chrysler,300,Base,Sedan,automatic,2c3ccaagxeh327065,tx,4.0,22781.0,black,black,enterprise vehicle exchange/dfw airport,18650.0,19500.0,2015-01-21 02:15:00+08:00
2001,GMC,Jimmy,SLT,SUV,automatic,1gkdt13w012210994,tx,1.0,150184.0,white,gray,ford-lincoln dealer program,1350.0,2400.0,2015-05-07 07:00:00+07:00
2007,Volkswagen,Passat,3.6 4Motion,Sedan,automatic,wvwdu93c37p070724,wi,2.0,75385.0,blue,black,gm financial,9250.0,8000.0,2015-05-27 03:00:00+07:00
2013,Chrysler,200,LX,Sedan,automatic,1c3ccbag9dn721989,mn,5.0,13139.0,blue,black,chrysler capital,12050.0,12800.0,2015-02-19 02:45:00+08:00
2004,Acura,RSX,Base,hatchback,automatic,jh4dc54854s015821,ca,2.0,85532.0,silver,gray,acura north scottsdale,5175.0,3900.0,2015-06-04 05:30:00+07:00
2015,Chevrolet,Express,LT 3500,van,automatic,1gazg1fg7f1108902,fl,3.0,27052.0,white,gray,gm remarketing,26100.0,27800.0,2015-06-01 06:00:00+07:00
2012,Dodge,Durango,SXT,SUV,automatic,1c4rdhag7cc125926,hi,3.0,33735.0,gray,black,ally,19150.0,19250.0,2015-01-21 06:35:00+08:00
2007,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng86x17a132957,ca,4.0,75932.0,silver,beige,high bid trading co inc,20800.0,22500.0,2015-05-21 05:00:00+07:00
2007,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a4fy58b97t575095,or,2.0,64928.0,red,gray,gm financial,3300.0,1600.0,2015-01-13 11:31:00+08:00
2012,Chevrolet,Express Cargo,2500,Van,automatic,1gcwgfca5c1177381,ne,1.0,58278.0,white,tan,ari,14450.0,4500.0,2015-01-14 02:00:00+08:00
2012,Lexus,IS 250,Base,Sedan,automatic,jthbf5c26c5166515,fl,4.0,52731.0,black,black,autonation ford margate,21100.0,19000.0,2014-12-30 09:15:00+08:00
2000,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b7yu095021,wi,1.0,97179.0,gold,tan,peddle llc,3475.0,1500.0,2015-01-28 02:30:00+08:00
2003,Kia,Optima,SE,Sedan,automatic,knagd128135226810,wa,2.0,117551.0,blue,gray,credit acceptance corp/vrs/southfield,1925.0,1350.0,2015-02-18 06:00:00+08:00
1997,Honda,Accord,Special Edition,sedan,automatic,1hgcd5600va111320,fl,2.0,286955.0,purple,gray,coggin nissan,400.0,350.0,2015-06-04 05:20:00+07:00
2000,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsc29m7ym056024,va,2.0,182966.0,red,black,purple heart,1050.0,250.0,2015-03-05 03:50:00+08:00
2007,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b87t511060,fl,2.0,140486.0,black,gray,zimmerman auto brokers inc,1900.0,1800.0,2015-02-20 09:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er256834,tx,4.0,28793.0,red,black,hertz corporation/gdp,18600.0,17100.0,2015-03-04 02:00:00+08:00
2014,Toyota,Camry,L,Sedan,automatic,4t1bf1fk8eu831263,ga,3.0,13152.0,silver,gray,world omni financial corporation,15650.0,13300.0,2015-01-22 02:00:00+08:00
2012,Kia,Sedona,LX,Minivan,automatic,kndmg4c72c6475891,nj,4.0,52498.0,silver,gray,dollar thrifty auto group/faao,11050.0,10100.0,2015-02-04 01:30:00+08:00
2009,MINI,Cooper Clubman,Base,Hatchback,manual,wmwml33579tp98619,ny,2.0,64089.0,black,gray,gateway one lending & finance,8450.0,6800.0,2015-02-05 01:15:00+08:00
2007,Toyota,RAV4,Sport,SUV,automatic,jtmbd32v375074646,ma,3.0,144644.0,silver,gray,boch toyota/scion south,6900.0,7400.0,2015-01-13 10:00:00+08:00
2013,GMC,Terrain,SLT-1,SUV,automatic,2gkflvek3d6215589,tx,4.0,49081.0,white,black,music city autoplex llc,17500.0,18200.0,2014-12-23 10:10:00+08:00
2009,Chevrolet,Malibu Hybrid,Base,Sedan,automatic,1g1zf57579f167723,oh,1.0,116292.0,gray,gray,pat o'brien chevrolet,4375.0,3000.0,2015-03-03 05:00:00+08:00
2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek7a1113731,nc,2.0,114248.0,white,black,santander consumer,5225.0,5300.0,2015-02-02 01:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er208993,ca,2.0,15601.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,20000.0,17400.0,2015-03-03 04:00:00+08:00
2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg1et178577,mn,3.0,20437.0,blue,black,hertz corporation/gdp,17450.0,17300.0,2015-01-28 05:00:00+08:00
2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5eh853665,ca,1.0,26671.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,14200.0,8700.0,2015-03-03 04:00:00+08:00
2013,Honda,Civic,EX,sedan,automatic,2hgfb2f89dh507463,ga,4.0,31625.0,gray,gray,ahfc/honda lease trust/hvt  inc.,12800.0,14200.0,2015-06-18 03:00:00+07:00
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e3xe1112359,il,4.0,15876.0,white,gray,gm remarketing,13500.0,13300.0,2015-02-05 03:00:00+08:00
1996,Ford,Mustang SVT Cobra,Base,coupe,manual,1falp47v0tf136783,oh,4.0,21260.0,black,black,exceptional motorcar llc,3350.0,12500.0,2015-06-02 02:30:00+07:00
2005,Hyundai,Elantra,GT,Hatchback,manual,kmhdn56d75u142805,ca,2.0,1.0,black,gray,nissan of duarte,3525.0,600.0,2015-04-08 04:00:00+07:00
2006,Nissan,Altima,2.5 S,sedan,automatic,1n4al11d96n371517,fl,2.0,144761.0,gray,black,autonation toyota scion weston,2750.0,4100.0,2015-06-02 10:30:00+07:00
2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac4ch467915,fl,4.0,35366.0,blue,gray,palm chevrolet of gainesville llc,11650.0,12100.0,2015-05-26 02:30:00+07:00
2004,Honda,Civic,Hybrid,Sedan,automatic,jhmes96604s003330,in,1.0,146997.0,silver,gray,santander consumer,2275.0,400.0,2015-01-08 12:30:00+08:00
2012,GMC,Terrain,SLE-1,SUV,automatic,2gkflrek7c6151708,ma,4.0,172678.0,silver,black,ge fleet services for itself/servicer,8550.0,6500.0,2015-02-05 10:30:00+08:00
2002,Saturn,VUE,Base,SUV,automatic,5gzcz63b42s817285,ga,4.0,154914.0,red,gray,innovative auto llc,1225.0,2100.0,2015-01-06 13:00:00+08:00
2012,Toyota,RAV4,Base,suv,automatic,2t3zf4dv7cw139870,fl,5.0,35883.0,red,beige,world omni financial corporation,14300.0,15000.0,2015-06-09 02:30:00+07:00
2003,Dodge,Neon,SE,Sedan,manual,1b3es26c43d144727,tx,2.0,66455.0,black,black,onemain remarketing services,1750.0,1400.0,2015-02-18 02:00:00+08:00
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40ex9z049188,fl,4.0,76708.0,gold,beige,santander consumer,7325.0,8300.0,2015-01-15 01:35:00+08:00
2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjebg9ec432779,tx,4.0,23403.0,white,black,enterprise veh exchange/rental,29300.0,30700.0,2014-12-17 10:00:00+08:00
1998,Oldsmobile,Intrigue,GL,Sedan,automatic,1g3ws52kxwf396430,nj,3.0,114983.0,black,gray,kull auto sales inc,450.0,600.0,2015-01-14 01:30:00+08:00
2009,BMW,3 Series,328i,Sedan,automatic,wbaph77529nm28599,nv,3.0,63721.0,gray,black,bul connections llc,13200.0,11700.0,2015-03-06 03:45:00+08:00
2009,Dodge,Avenger,SE,Sedan,automatic,1b3lc46b29n566666,oh,2.0,116383.0,beige,gray,the car connection,4675.0,5500.0,2015-02-19 01:00:00+08:00
2010,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tffy5f15ax087113,pr,3.0,46997.0,white,brown,toyota credit de puerto rico,28300.0,25200.0,2015-05-21 05:00:00+07:00
1998,Ford,Taurus,SE,Sedan,automatic,1fafp52u2wa152308,pr,1.0,151210.0,white,gray,select remarketing group llc/anderson financial,725.0,300.0,2015-01-29 02:00:00+08:00
2015,BMW,5 Series,535i xDrive,sedan,automatic,wba5b3c5xfd544268,nj,5.0,1713.0,beige,black,bmw na manheim new jersey,55500.0,57500.0,2015-06-02 07:00:00+07:00
2015,Kia,Sorento,LX,suv,automatic,5xyktca63fg559680,co,5.0,11617.0,silver,gray,kia motors america  inc,20500.0,20300.0,2015-06-02 05:00:00+07:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er305136,ca,3.0,21782.0,gray,black,hertz corporation/gdp,16850.0,16900.0,2015-02-17 04:30:00+08:00
2014,Toyota,RAV4,XLE,SUV,automatic,jtmrfrev9ed090800,nv,5.0,1305.0,gray,black,wells fargo dealer services,24000.0,25500.0,2015-03-06 04:00:00+08:00
2014,Chrysler,300,C,Sedan,automatic,2c3ccakt1eh265051,oh,5.0,19833.0,red,black,enterprise veh exchange/rental,23100.0,24300.0,2015-06-23 02:30:00+07:00
2008,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,1gtec14c88e124443,oh,3.0,124841.0,purple,gray,sullivan auto group llc,5800.0,6500.0,2015-01-22 02:05:00+08:00
2014,Buick,Enclave,Leather Group,SUV,automatic,5gakvbkd4ej162643,mi,4.0,20637.0,black,black,gm remarketing,33000.0,30300.0,2015-02-26 01:30:00+08:00
2002,Dodge,Grand Caravan,Sport,Minivan,automatic,2b4gp44372r587518,ca,2.0,135315.0,gold,tan,800 loan mart,1425.0,1000.0,2015-01-15 04:00:00+08:00
2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s94c131470,oh,1.0,155264.0,blue,gray,credit acceptance corp/vrs/southfield,2350.0,575.0,2015-02-17 05:00:00+08:00
2007,Jeep,Wrangler,Unlimited X,SUV,manual,1j4gb39197l226787,tx,4.0,89850.0,black,gray,capital remarketing,11700.0,12200.0,2015-02-12 04:00:00+08:00
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a76eg291826,nj,5.0,10567.0,burgundy,gray,santander consumer,15300.0,15100.0,2015-01-21 01:30:00+08:00
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s31e9116199,fl,4.0,18939.0,silver,gray,gm remarketing,19350.0,20600.0,2015-02-23 05:00:00+08:00
2001,BMW,5 Series,530i,sedan,automatic,wbadt63421cf13597,ga,4.0,121438.0,gray,gray,nalley lexus roswell,2475.0,3700.0,2015-06-02 06:00:00+07:00
2012,Honda,Civic,LX,sedan,automatic,19xfb2f53ce316099,nj,4.0,35473.0,beige,gray,wells fargo dealer services,11500.0,11600.0,2015-06-10 02:30:00+07:00
2014,Toyota,Corolla,LE,Sedan,automatic,2t1burhe5ec151463,oh,5.0,11904.0,black,gray,toyota financial services,13950.0,14700.0,2015-01-06 01:30:00+08:00
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s39e9310821,il,4.0,15592.0,silver,black,gm remarketing,19750.0,19900.0,2015-03-05 03:00:00+08:00
2014,Chevrolet,Equinox,LS,SUV,automatic,2gnalaek9e1127361,nv,4.0,17919.0,black,black,prestige chrysler jeep dodge,17200.0,17500.0,2015-02-27 04:00:00+08:00
2007,Nissan,Sentra,2,Sedan,automatic,3n1ab61e47l711163,mo,2.0,66604.0,gray,gray,dt inventory,4800.0,3500.0,2015-02-09 03:00:00+08:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er391645,pa,3.0,22443.0,gray,black,enterprise holdings/gdp,16750.0,15800.0,2015-01-22 01:30:00+08:00
2015,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg8fl522722,pa,5.0,7965.0,white,black,hyundai st constant,29900.0,30100.0,2015-02-25 01:00:00+08:00
2004,BMW,5 Series,545i,Sedan,automatic,wbanb335x4b110442,fl,2.0,116606.0,gray,beige,innovate loan servicing corp,5475.0,4200.0,2015-02-12 07:00:00+08:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7326998,fl,4.0,15978.0,white,beige,gm remarketing,13450.0,13500.0,2015-02-23 05:00:00+08:00
2014,Jeep,Compass,Sport,SUV,automatic,1c4njcba6ed843579,fl,4.0,17616.0,gray,gray,pv holding inc/gdp,14450.0,14600.0,2015-02-02 04:30:00+08:00
2009,Infiniti,M35,x,Sedan,automatic,jnkcy01f79m852956,pa,3.0,50840.0,black,black,gateway one lending & finance,16400.0,15100.0,2015-01-13 09:30:00+08:00
2003,Pontiac,Grand Prix,SE,sedan,automatic,1g2wk52j93f168054,oh,1.0,143978.0,burgundy,gray,select remarketing group llc/loan max title,1000.0,850.0,2015-06-16 02:30:00+07:00
2014,Mazda,MX-5 Miata,Grand Touring,Convertible,automatic,jm1nc2pf7e0235666,ca,5.0,1197.0,black,brown,mazda motors of america inc.,24600.0,26250.0,2014-12-16 12:30:00+08:00
2013,Chevrolet,Traverse,LS,SUV,automatic,1gnkvfed8dj120063,mi,5.0,23646.0,blue,gray,gm financial leasing,20700.0,22000.0,2015-01-15 01:30:00+08:00
2013,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg5dr653965,ca,2.0,54988.0,red,black,the hertz corporation,11850.0,11400.0,2015-06-09 05:30:00+07:00
2010,Chrysler,Town and Country,Touring,Minivan,automatic,2a4rr5dxxar253720,oh,4.0,82462.0,green,gray,exceptional motorcar llc,8750.0,10800.0,2015-02-17 01:30:00+08:00
1993,Mercedes-Benz,190-Class,190E 2.3,Sedan,automatic,wdbda28d3pg023905,nc,2.0,152374.0,black,gray,hendrick unknown inventory-manheim charlotte,1075.0,400.0,2015-06-03 07:00:00+07:00
2009,Ford,Econoline Cargo,E-250,Van,automatic,1ftns24l39da80206,oh,2.0,162757.0,white,gray,lease plan usa,6800.0,7700.0,2015-01-29 02:00:00+08:00
2012,Honda,Pilot,LX,suv,automatic,5fnyf4h26cb060109,pa,4.0,40785.0,blue,gray,apple honda isuzu chrysler plymouth,18950.0,19000.0,2015-05-29 02:00:00+07:00
2014,Chevrolet,Impala,LTZ,Sedan,automatic,2g1155s36e9244395,fl,3.0,24660.0,red,black,gm remarketing,23700.0,24000.0,2015-02-09 05:00:00+08:00
2013,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap8dl777380,fl,5.0,6032.0,gray,black,nissan north america inc.,13150.0,13800.0,2015-01-06 13:00:00+08:00
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0hd1e5380284,md,4.0,13560.0,gray,beige,ford-lincoln dealer program,17000.0,15000.0,2015-03-03 01:30:00+08:00
2015,Chrysler,200,C,Sedan,automatic,1c3ccccb4fn523962,il,4.0,3776.0,gray,beige,chrysler group llc,18600.0,21300.0,2015-02-26 03:00:00+08:00
2014,Dodge,Durango,Limited,SUV,automatic,1c4rdhdg1ec537600,fl,4.0,11886.0,white,black,pv holding inc/gdp,29000.0,27500.0,2015-01-19 04:30:00+08:00
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg0eh265982,ut,1.0,26313.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,15750.0,9000.0,2015-01-28 04:30:00+08:00
2014,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,4s3bmbc62e3037646,ca,5.0,8069.0,red,gray,subaru of america,18250.0,18000.0,2015-02-19 04:00:00+08:00
2014,Cadillac,XTS,Luxury,Sedan,automatic,2g61m5s34e9214910,fl,2.0,28914.0,gray,beige,enterprise vehicle exchange / tra / rental / tulsa,28700.0,21500.0,2014-12-30 09:00:00+08:00
2008,Hyundai,Entourage,GLS,Minivan,automatic,kndmc233186052725,ma,2.0,119250.0,white,tan,first hyundai,2550.0,3300.0,2015-02-12 10:30:00+08:00
2008,Chevrolet,HHR,LT,Wagon,automatic,3gnda53p68s593637,mi,5.0,105316.0,silver,gray,kevins marysville auto sales inc,4700.0,5800.0,2014-12-18 09:30:00+08:00
2000,Mazda,Protege,DX,Sedan,automatic,jm1bj2222y0241277,pa,1.0,132753.0,beige,brown,spitzer toyota scion,725.0,850.0,2015-05-06 05:00:00+07:00
2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38615b099686,wa,2.0,198280.0,blue,gray,charitable adult rides services/car donating is,3150.0,3000.0,2015-01-14 04:30:00+08:00
2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk3eu406632,nv,5.0,2968.0,gray,gray,malco enterprise of nevada/dba budget,16200.0,18800.0,2015-02-27 04:00:00+08:00
2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et6dfb67161,co,4.0,31749.0,gray,black,the auto connection,33100.0,33800.0,2014-12-23 11:00:00+08:00
2003,Nissan,Sentra,SE-R,Sedan,manual,3n1ab51d93l720176,ga,2.0,94388.0,silver,black,purple heart,1425.0,2200.0,2015-01-15 04:30:00+08:00
2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8bb6ar110600,va,3.0,89569.0,black,brown,blue knob auto sales inc,12750.0,12700.0,2015-03-05 01:05:00+08:00
2007,GMC,Sierra 1500,SLE1,Extended Cab,automatic,1gtec19jx7z591300,tx,2.0,88863.0,beige,black,wells fargo dealer services,11650.0,9100.0,2015-02-11 02:00:00+08:00
2014,Ram,1500,Tradesman,Crew Cab,automatic,1c6rr7kt7es250531,in,1.0,7819.0,blue,gray,chrysler capital,27800.0,22600.0,2015-02-26 04:30:00+08:00
2007,Jeep,Commander,Sport,SUV,automatic,1j8hg48k57c570508,ga,2.0,82444.0,silver,gray,innovative auto llc,8475.0,9000.0,2015-02-24 01:30:00+08:00
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec264180,fl,5.0,6857.0,blue,beige,nissan north america inc.,17000.0,17600.0,2015-02-04 01:00:00+08:00
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef4bkd61623,mi,5.0,35594.0,gray,gray,stratford hyundai,24500.0,24400.0,2015-02-19 01:30:00+08:00
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn555735,oh,2.0,52446.0,gray,black,dollar thrifty damage liquidation,12500.0,8100.0,2015-02-03 05:00:00+08:00
2014,Ram,3500,Laramie Longhorn,Crew Cab,automatic,3c63r3kl8eg123650,va,5.0,5821.0,burgundy,brown,chrysler group llc,49900.0,48800.0,2014-12-18 08:45:00+08:00
2014,Kia,Rio,LX,Sedan,automatic,knadm4a3xe6374624,wi,4.0,9334.0,white,black,kia motors america  inc,11600.0,12000.0,2015-01-21 02:00:00+08:00
2011,Toyota,Corolla,LE,Sedan,automatic,jtdbu4ee3bj098110,nc,2.0,111357.0,white,tan,santander consumer,7650.0,6700.0,2015-02-02 01:30:00+08:00
2012,Ram,1500,SLT,Crew Cab,automatic,1c6rd7lt5cs348032,mo,5.0,30176.0,red,gray,woodhouse ford inc,26300.0,26500.0,2015-01-13 11:00:00+08:00
2008,Mercedes-Benz,CLS-Class,CLS63 AMG,Sedan,automatic,wdddj77x68a115899,nc,2.0,96369.0,black,black,national remarketing services/secu,19500.0,12400.0,2015-02-03 00:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er255567,fl,3.0,28824.0,burgundy,black,hertz corporation/gdp,18550.0,17500.0,2015-01-19 04:30:00+08:00
2008,Mitsubishi,Lancer Evolution,GSR,sedan,manual,ja3aw86v28u048865,fl,3.0,69590.0,brown,black,arg inc,19350.0,17800.0,2015-06-05 02:30:00+07:00
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k31cl027984,il,2.0,32444.0,red,black,ally,9550.0,9600.0,2015-02-26 02:00:00+08:00
2005,Ford,F-150,XLT,SuperCab,automatic,1ftpx14515na91795,pa,2.0,179051.0,blue,tan,united imports inc,4500.0,2250.0,2015-02-13 00:29:00+08:00
2004,Dodge,Stratus,SXT,Sedan,automatic,1b3el46r64n316099,fl,2.0,86064.0,beige,tan,dt credit corporation,1450.0,1500.0,2015-05-29 02:15:00+07:00
